,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability,Level 2 label,Level 2 probability
id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes,/Negative/Worry/,Negative,0.398,Worry,0.269
Ugy2wokL9inpkyX_KWd4AaABAg,Winter[Myquel Grant Acaylar Hernando],1 month ago,1512433160180,Sorry i'm late i'm the...,113,true,79,,,,,,,/Negative/Worry/,Negative,0.869,Worry,0.291
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4pFc5-bbG,Annoying Orange,1 month ago,1512433161636,Banana?,34,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.473,Empty tweets / Garbage / No sentiments,0.691
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4pKYhqhiq,Marshmallow,1 month ago,1512433161638,Unicorn?,32,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.438,Empty tweets / Garbage / No sentiments,0.586
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4pPO2dvQ_,Grapefruit,1 month ago,1512433161641,Butt Doctor?,31,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.405,Empty tweets / Garbage / No sentiments,0.542
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4pTOyWlOB,Squash,1 month ago,1512433161644,Squash?,30,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4pYTfDCRP,Midget Apple,1 month ago,1512433161648,Unicycle Thief?,32,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4paC_hA6f,Grandpa Lemon,1 month ago,1512433161651,Zzzzzzzzz...,31,/Negative/Worry/,Negative,0.487,Worry,0.254
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4pftH3XSj,Pear,1 month ago,1512433161654,Bacon Alarm Clock?,35,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.399,Empty tweets / Garbage / No sentiments,0.571
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4pnoP1P7u,Annoying Orange,1 month ago,1512433161656,Pantsless Pants DJ?,34,/Neutral/Surprise/,Neutral,0.433,Surprise,0.533
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4q-gjfSA3,Cole Clifford,1 month ago,1512433161659,Toaster?,12,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4s5RD9s2y,Angel Rosas,1 month ago,1512433161662,Myquel Grant Acaylar Hernando day iiiiiyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,4,/Positive/Happiness/,Positive,0.487,Happiness,0.257
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4sBy7BNUn,Jay-Jay Childs,1 month ago,1512433161664,An Apple?,4,/Neutral/Surprise/,Neutral,0.482,Surprise,0.706
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4uFw1fXzX,Galaxykiller200,1 month ago,1512433161666,Monster burger?,4,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.413,Empty tweets / Garbage / No sentiments,0.592
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_4vpzz3OQC,ReTrO,1 month ago,1512433161668,A but toucher,3,/Negative/Sadness/,Negative,0.607,Sadness,0.251
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_52Ju9O4Gp,Liam Orr,1 month ago,1512433161671,A wii pony?,3,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.434,Empty tweets / Garbage / No sentiments,0.547
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_545fADOGp,Olivier Cabanié,1 month ago,1512433161673,A poop?,3,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.398,Empty tweets / Garbage / No sentiments,0.578
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_54zD-HfWu,Lewin Ang,1 month ago,1512433161675,A Papaya?,3,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.436,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_5AHJ6BUh3,ethan ramcel,1 month ago,1512433161677,"Myquel Grant Acaylar Hernando ,we,",3,/Positive/Relief/,Positive,0.442,Relief,0.221
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_5DmW_OpWV,Winter[Myquel Grant Acaylar Hernando],1 month ago,1512433161680,"I'm the last one
Htf!!!",3,/Positive/Happiness/,Positive,0.425,Happiness,0.232
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_5DmqMVtx-,m3ndoza213,1 month ago,1512433161683,Donald Trunk,2,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.402,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_5G_Ed4nOt,BuyVotw ツ,1 month ago,1512433161685,Myquel Grant Acaylar Hernando oh XD,3,/Positive/Happiness/,Positive,0.418,Happiness,0.233
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_5HC--UzBC,Gosei Greater,1 month ago,1512433161688,pokeball,2,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_5M785SOhP,bj Max,1 month ago,1512433161690,"""toaster oven oh wait peppy (the delivery boy in 30 mins or less) is gone""",2,/Negative/Worry/,Negative,0.363,Worry,0.249
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_5fAxpYuuY,Kim Hai Lieu,1 month ago,1512433161692,Myquel Grant Acaylar Hernando À,2,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_5fL3ozLRq,Winter[Myquel Grant Acaylar Hernando],1 month ago,1512433161695,"Kim Hai Lieu did you say After i guess you said that
Thanks",2,/Neutral/Surprise/,Neutral,0.541,Surprise,0.801
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_5gpYWoARv,Winter[Myquel Grant Acaylar Hernando],1 month ago,1512433161697,"I don't have my boss only my brother
Thanks for the advice",2,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.361,Empty tweets / Garbage / No sentiments,0.627
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_5oO4fqkWc,amir muhsen,1 month ago,1512433161699,Hay what do you call a pepper in a nose?halapineo business!hahahaha!,2,/Negative/Worry/,Negative,0.433,Worry,0.257
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_5od0qFCJB,slitherwąż,1 month ago,1512433161702,Toster?,3,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_5okyc4WsS,slitherwąż,1 month ago,1512433161755,Pineapple?,3,/Neutral/Surprise/,Neutral,0.438,Surprise,0.518
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_5ompXfbnb,slitherwąż,1 month ago,1512433161757,Passion Fruit?,3,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.45,Empty tweets / Garbage / No sentiments,0.573
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_5rLJKzrLc,StarHeroX Adventures,1 month ago,1512433161759,YAH?!😂😂,3,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.437,Empty tweets / Garbage / No sentiments,0.567
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_5xqO9bj-5,Evita Nurfida,1 month ago,1512433161762,"Myquel Grant Acaylar Hernando 

What? What!? WHAT!?!?
WWWAAAAAAAAATT!?!?!?!?!?!?!?!?!?!?!?",2,/Neutral/Surprise/,Neutral,0.584,Surprise,0.814
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_6-rVAAxhb,Winter[Myquel Grant Acaylar Hernando],1 month ago,1512433161764,gg,2,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_62h-hJwM5,Triaki,1 month ago,1512433161766,Myquel Grant Acaylar Hernando giant pink flying apple with a green and red spear?,2,/Positive/Happiness/,Positive,0.407,Happiness,0.297
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_6C8QO3Cyl,Morgan Millington,1 month ago,1512433161769,No worries Myquel Grant Acaylar Hernando. Your not alone. Presentiiiiiing Brainy!,2,/Negative/Worry/,Negative,0.513,Worry,0.28
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_6OnPhV5kz,farislan lan,1 month ago,1512433161771,Creep?,2,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.519
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_6S0ks5byW,Banana Boy,1 month ago,1512433161773,Wii U?,2,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.44,Empty tweets / Garbage / No sentiments,0.547
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_6VSNdJ2zs,Nancy Mitchell,1 month ago,1512433161775,Annoying Orange Blender!,2,/Negative/Boredom/,Negative,0.415,Boredom,0.222
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_6jD4FRdMi,matthew hendryx,1 month ago,1512433161778,The mystery is OVER 9000,2,/Negative/Worry/,Negative,0.409,Worry,0.222
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_6nYEbunRS,Johnny Hall,1 month ago,1512433161780,Winner of this year's butt-toucher of the year award?,4,/Negative/Hate/,Negative,0.365,Hate,0.237
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_6oy11W-Fs,Jordan Henry,1 month ago,1512433161782,My favorite Thanksgiving food is yums,1,/Positive/Happiness/,Positive,0.578,Happiness,0.435
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_6sIxqrcTe,Lenard Murphy,1 month ago,1512433161784,William Shakespeare ?,1,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.487,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_73YWGtlcC,Blobsy,1 month ago,1512433161787,My butt?,2,/Negative/Worry/,Negative,0.351,Worry,0.234
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_7Hpftwkxy,Gregory Blisset,1 month ago,1512433161789,Annoying Orange YOUR ARE THE BEST Please play Roblox on your gaming channel and Friend me please IGN:MyAccJustHadAGlitch,1,/Positive/Fun/,Positive,0.513,Fun,0.259
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_7XHK9M0xD,Nick The Roblox Gamer,1 month ago,1512433161791,A pilgrim reaper?,2,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.425,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_7eM6NK56j,lukegibo,1 month ago,1512433161794,THE PILGRIM REAPER?!?!?,2,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.425,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_7lIgpw9fm,Gamer fluttershy 123,1 month ago,1512433161796,Wow you are so lucky to get this much comments!,1,/Positive/Happiness/,Positive,0.371,Happiness,0.257
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_7lMZwwSZE,Winter[Myquel Grant Acaylar Hernando],1 month ago,1512433161798,Thanks,1,/Positive/Happiness/,Positive,0.642,Happiness,0.36
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_7naDp9Hze,Nick The Roblox Gamer,1 month ago,1512433161800,Myquel Grant Acaylar Hernando I just realized you have happy tree friends photo,1,/Positive/Love/,Positive,0.484,Love,0.276
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_81vWRoLk4,Jaydon Ha,1 month ago,1512433161805,TNT?,1,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_82Dk_t_W9,I'm totally not a gay,1 month ago,1512433161809,annoying Orange was quiet?,1,/Negative/Boredom/,Negative,0.374,Boredom,0.219
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_8cVpazkAo,Winter[Myquel Grant Acaylar Hernando],1 month ago,1512433161813,Yep,1,/Positive/Happiness/,Positive,0.486,Happiness,0.333
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_A9d9-df4s,Malliry Webster,1 month ago,1512433161816,Hey  guys  your  the  best,1,/Positive/Love/,Positive,0.829,Love,0.267
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_APp2Hsf3M,Jacob Manfredi,1 month ago,1512433161819,Yoshi?,1,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_Amm2w12Ne,The Alolan shiny hunter,1 month ago,1512433161821,wait i know who you ar........,1,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.418,Empty tweets / Garbage / No sentiments,0.552
