,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability,Level 2 label,Level 2 probability
id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes,/Negative/Worry/,Negative,0.398,Worry,0.269
UgwHOCcR-TIS0G5KgmN4AaABAg,Tiffani Sullivan,4 days ago,1512847758519,Conservatives are serpents in disguise,0,false,0,,,,,,,/Negative/Worry/,Negative,0.497,Worry,0.214
UgzLOJRqlE-cC_fXNHx4AaABAg,Motorsaw Adams,1 week ago,1512588558522,"Frank Matthews, you are just a hater. Trump is Your President, too. Same people accusing Moore, are the same assholes that are swearig Conyers, Franken, etc. are completely innocent. Same idiots that have protected Clinton, Weiner,Biden & all the other pervs in Washington. We've got Hollyweird crumbling, too.. Anyone else getting it yet? We never would have had the transparency when the last ""Failure-in-Chief"" was stinking up the WH. Keep crying snowflakes!",0,false,0,,,,,,,/Negative/Sadness/,Negative,0.495,Sadness,0.239
Ugx_fWl2W032PR9jdNV4AaABAg,Dave Ware,1 week ago,1512588558524,Way to spin guys,0,false,0,,,,,,,/Positive/Happiness/,Positive,0.465,Happiness,0.251
UgyWutyFEG5gPbgqH7F4AaABAg,Aristotle Stagirus,2 weeks ago,1511983758528,"The problem I have with some of this is the ease of which someone can accuse another person of a sexual crime that happened 30 or 40 years in the past, where the accusation never came up before, there is no hard evidence, and it really comes down to the word of the victim versus the word of the perpetrator, and the victim is assumed to be telling the truth. That is perfect Salem Trials Witch Hunting set up.

Now, I don't know about this particular incident and maybe there is real evidence or admission of guilt.

But keep this in mind, if for whatever reason somebody decides they want to ruin you, so long as they know you and have potentially been along with you, they can claim they are your victim and it can then be virtually impossible to prove you didn’t do it. If they knew you 30 years ago, this is even more likely, because who can remember and gather enough evidence about what they were doing 30 years ago to mount a defense. 

We stopped needing hard evidence to convict people of sexual offenses, now just an unsupported accusation from one victim is enough to convict. But we know people can and have lied about being victims for all kinds of reasons. It should take more evidence than that to convict people, otherwise we are just having Witch Trials.",0,false,0,,,,,,,/Negative/Worry/,Negative,0.567,Worry,0.242
UgzIZfIrPRs03dM8ugt4AaABAg,Michelle Espino,2 weeks ago,1511983758531,Did she just say few and far between. I hope someone rapes her and no one believes her.  I've never said this about anyone but maybe then that bitch would understand. Her and the other one that supposedly gets the term racist thrown at her for no reason.,0,false,0,,,,,,,/Negative/Worry/,Negative,0.545,Worry,0.254
Ugz-tE5h_VkN0J8Oa-x4AaABAg,Candice Nicole,2 weeks ago,1511983758535,"I can't wait for the documentary about all these conservative boycotts. It should be called ""Snowflake.""",2,false,0,,,,,,,/Positive/Enthusiasm/,Positive,0.423,Enthusiasm,0.406
UgzeIbWEYM25HddmYVt4AaABAg,Roger Williams II,2 weeks ago,1511983758568,Faux news bares false witness 24/7 365,0,false,0,,,,,,,/Negative/Worry/,Negative,0.382,Worry,0.241
Ugw4Xxd55kZZBK5MOs94AaABAg,thunderdragonaf,2 weeks ago,1511983758575,It's like burning season tickets. Doesn't effect them at all.,0,false,0,,,,,,,/Negative/Hate/,Negative,0.463,Hate,0.227
UgyR_YwftSgir13Ih4F4AaABAg,Ymr Bleav,3 weeks ago,1511378958581,"Great video TYT as usual, but this one is hilarious!!!",0,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.398,Surprise,0.645
UgwTPmkRs9FlODdwj5F4AaABAg,Marshall Corcoran,3 weeks ago,1511378958589,He's buying Keurig coffee machines to give to his supporters to destroy... So he's basically handing Keurig more money because he's mad that they won't advertise on his shows anymore? That's some logic right there.,0,false,0,,,,,,,/Negative/Boredom/,Negative,0.482,Boredom,0.242
UgwdbzjOE89v1USZHX94AaABAg,EagDesert,3 weeks ago,1511378958598,"Wow Sinkhole never gets tired of that bigoted impersonation of southern people, does he? Derka derka Mohammad Jihad!",0,false,0,,,,,,,/Negative/Sadness/,Negative,0.483,Sadness,0.248
