,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability,Level 2 label,Level 2 probability
id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes,/Negative/Worry/,Negative,0.398,Worry,0.269
UgxrtPuLepqLAABubXZ4AaABAg,PissedOff RebelinMI,4 days ago,1513280886080,"I think Taylor Swift just wants to keep her political opinions too herself since she knows how it polarizes people....especially in this day and age.
I also think that people should just respect that, and if you can't-
:)
KISS HER ASS!",1,false,0,,,,,,,/Negative/Hate/,Negative,0.513,Hate,0.231
Ugxnqm7SyzmPhNJ4_rB4AaABAg,Ricardo Morales,4 days ago,1513280886084,Wow... the pathetic trolls are going all out on this one uh?,0,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.402,Surprise,0.786
Ugxag36TBCpEeL4UCMR4AaABAg,Glen,1 week ago,1513021686086,"I cannot believe that these Young Turks are trying to tell us that Taylor Swift is a Liberal. Everybody knows Taylor is as Alt-Right as Richard Spencer. It's easy to imagine her lying on her bed, maybe scantily dressed, writing the lyrics to a new song. As she taps her pen against her bottom lip she asks herself, how to get her Alt-Right message out there in such a way as to not raise any suspicions from the Liberal, main stream, fake news, media. She knows the message would need to be simple to comprehend, Alt-Righters aren't the quickest folks in America. So she started with a title she knew the Alt- Right would jump all over. ""Look What You Made Me Do.""  I mean c'mon people she might as well have titled the song, ""I Hate Minorities, Let's Beat Them Up."" Right? Am I right?",1,false,0,,,,,,,/Negative/Hate/,Negative,0.351,Hate,0.253
UgynYmaKgGaKpqZnpZ54AaABAg,Gadsden Runningwater,1 week ago,1513021686089,The Prager University ad that played before your garbage video contained more factual information and intelligence in 25 seconds than you did in your entire brainwashed tirade.,4,true,1,,,,,,,/Positive/Enthusiasm/,Positive,0.404,Enthusiasm,0.243
,,,,,,,,UgynYmaKgGaKpqZnpZ54AaABAg.8_vSBCzR69B8a0OStogRki,S J.,1 week ago,1513021686647,Gadsden Runningwater wow.. you sound like you are crying. Are you ok? Let me know if the video hurt your feelings,0,/Negative/Worry/,Negative,0.57,Worry,0.274
Ugw0N2bN_y4yakNZe4d4AaABAg,Adam McAllister,1 week ago,1513021686092,Swift is the aryan goddess,3,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.349,Surprise,0.544
UgwVL9r0YOIREmDkgat4AaABAg,M.x H.ü,1 week ago,1513021686096,It's ok to be white.,11,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.415,Surprise,0.533
UgwgPq7ScS-I-biDrap4AaABAg,Koos Swart,2 weeks ago,1512416886098,as long as you can avoid mentioning my website,0,true,1,,,,,,,/Neutral/Surprise/,Neutral,0.455,Surprise,0.642
,,,,,,,,UgwgPq7ScS-I-biDrap4AaABAg.8_ktMKe5xRC8_kwNXyDPZo,Koos Swart,2 weeks ago,1512416886531,"you might want to start doing your job but it is already too late. You created ISIS, and you are currently creating its successor",0,/Negative/Worry/,Negative,0.605,Worry,0.228
UgzUj1VxvNQeK70WM3R4AaABAg,Bait Hunter,2 weeks ago,1512416886102,"If you can analyze some pop music to reference hate but accept pseudoscience that suggest racial supremacy is true, them you are a bigot.",4,false,0,,,,,,,/Negative/Hate/,Negative,0.472,Hate,0.307
Ugyhq9VP4wWlGZxh7NV4AaABAg,Henry Amado,2 weeks ago,1512416886105,"If the alt right should  not have the freedom of speech, according to some at TYT, then why should you?  Why should anyone support your double standard?  The freedom of speech includes the freedom to remain silent, or to tell some troll to shut up.",4,true,1,,,,,,,/Negative/Anger/,Negative,0.425,Anger,0.229
