,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability,Level 2 label,Level 2 probability
id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes,/Neutral/Surprise/,Neutral,0.405,Surprise,0.627
z221i1xgny23t5d3facdp43bqubnx5wrgjy5vzo2xxxw03c010c,justrosie1,4 days ago,1.51E+12,"OH my goodness you democrats have always been the racists, dems/confederates, KKK< a democrat group, BLack code, democrats, Jim crow laws democrts.�� No he is NOT a racist and yes muslims were cheering for 9/11.",1,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.419,Worry,0.238
z22vd5lwdoeyspd4304t1aokgfepnpx1rto3f2n2yy4dbk0h00410,Rachel K,1 week ago,1.51E+12,Newt Gingrich has a GIANT head!!,1,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.39,Surprise,0.588
z231tzkqfxj3vb3uuacdp43bc1egwjx5bgbfttjmqglw03c010c,Dean Rockwell,1 month ago,1.51E+12,"As opposed to the left, who has been explicitly anti-white for decades. This is so easy.",2,FALSE,0,,,,,,,/Negative/Boredom/,Negative,0.396,Boredom,0.236
z22vtzlqlp2fgfhar04t1aokgo0nukhtsgbvx3wegfverk0h00410,Jesus Christ,1 month ago,1.51E+12,"Most white people, even many who call themselves Christians, rarely or almost never clearly take a definitive stance and say who has ALWAYS been the cause, initiators, instigators, assaulters, murderers, lynchers, and practicers of evil and injustice in this nation, and they are white men. PERIOD!!!",4,TRUE,1,,,,,,,/Negative/Hate/,Negative,0.372,Hate,0.234
,,,,,,,,z22vtzlqlp2fgfhar04t1aokgo0nukhtsgbvx3wegfverk0h00410.1503964320133278,Telly Vin-a,1 month ago,1.51E+12,and yet all muslims are expected to apologize for the actions of their extreme few,0,/Neutral/Surprise/,Neutral,0.372,Surprise,0.771
z235fhlyys31v1qhv04t1aokgdiixyuuzm40rj51v5sprk0h00410,CButtonshaw,1 month ago,1.51E+12,"""no. i don't think/see that"" .... OF COURSE YOU WOULDN'T",2,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.531,Worry,0.265
z23ndvx4vqv0j35xq04t1aokgltnr2b04q5jucdlcqbsbk0h00410,bongo155,1 month ago,1.51E+12,"Jon Stewart said something along the lines of ""republicans have been saying these things for years but their actions have never matched their racist rhetoric. Trump comes along and capitalizes on it."" The reason Trump's base hates the GOP establishment so much is not because they've never said anything racist but they have never acted on the racist dog whistles they've made.",2,FALSE,0,,,,,,,/Negative/Hate/,Negative,0.604,Hate,0.255
z22tujrxrozzs1oqb04t1aokg0e3c5f051dtdxljshltbk0h00410,John Lared,1 month ago,1.51E+12,"you know why democrats will lose again because they are too chicken shit to call out bullshit when they see it,they are too nice and too political correct,watch them lose terribly 2020 i guarantee you",4,FALSE,0,,,,,,,/Negative/Anger/,Negative,0.477,Anger,0.255
z22fd50rmmj0jlrkyacdp4301azoxfxlj205lfdczldw03c010c,Jeff Shoemaker,1 month ago,1.51E+12,Dems and repub actors are right wing authoritarian classist racial bigots,1,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.49,Surprise,0.612
z23dvtzxysu1clytyacdp43a0vursstod1rnygfvur1w03c010c,Aceroc,1 month ago,1.51E+12,The young Turks and everyone who watches these retards makes you a idiot. All you cry baby's! Your triggered losers.,0,TRUE,3,,,,,,,/Positive/Love/,Positive,0.473,Love,0.249
